Sample,PWM,Motor Speed (RPM)
6084,80,23.96
6085,80,22.12
6086,80,23.96
6087,80,22.12
6088,80,23.96
6089,80,23.04
6090,80,23.04
6091,80,23.96
6092,80,22.12
6093,80,23.96
6094,80,22.12
6095,80,23.96
6096,80,23.04
6097,80,23.04
6098,80,23.04
6099,80,23.04
6100,80,23.96
6101,80,22.12
6102,80,23.96
6103,80,22.12
6104,80,23.96
6105,80,23.04
6106,80,23.04
6107,80,23.04
6108,80,23.04
6109,80,23.96
6110,80,22.12
6111,80,23.96
6112,80,22.12
6113,80,23.96
6114,80,23.04
6115,80,23.04
6116,80,23.96
6117,80,22.12
6118,80,23.96
6119,80,22.12
6120,80,23.96
6121,80,23.04
6122,80,23.04
6123,80,23.04
6124,80,23.04
6125,80,23.96
6126,80,22.12
6127,80,23.96
6128,80,22.12
6129,80,23.96
6130,80,23.04
6131,80,23.04
6132,80,23.96
6133,80,22.12
6134,80,23.96
6135,80,22.12
6136,80,23.96
6137,80,22.12
6138,80,23.96
6139,80,23.04
6140,80,23.04
6141,80,23.96
6142,80,22.12
6143,80,23.96
6144,80,22.12
6145,80,23.96
6146,80,23.04
6147,80,23.04
6148,80,23.04
6149,80,23.04
6150,80,23.96
6151,80,22.12
6152,80,23.96
6153,80,23.04
6154,80,23.04
6155,80,23.04
6156,80,23.04
6157,80,23.96
6158,80,22.12
6159,80,23.96
6160,80,22.12
6161,80,23.96
6162,80,23.04
6163,80,23.04
6164,80,23.96
6165,80,22.12
6166,80,23.96
6167,80,22.12
6168,80,23.96
6169,80,23.04
6170,80,23.04
6171,80,23.04
6172,80,23.04
6173,80,23.96
6174,80,22.12
6175,80,23.96
6176,80,22.12
6177,80,23.96
6178,80,22.12
6179,80,23.96
6180,80,22.12
6181,80,23.96
6182,80,22.12
6183,80,23.96
6184,80,22.12
6185,80,23.96
6186,80,22.12
6187,80,23.96
6188,80,22.12
6189,80,23.96
6190,80,22.12
6191,80,23.96
6192,80,22.12
6193,80,23.96
6194,80,22.12
6195,80,23.96
6196,80,22.12
6197,80,23.96
6198,80,23.04
6199,80,23.04
6200,80,23.04
6201,80,23.04
6202,80,23.04
6203,80,23.04
6204,80,23.04
6205,80,23.04
6206,80,23.04
6207,80,23.04
6208,80,23.04
6209,80,23.04
6210,80,23.04
6211,80,23.04
6212,80,22.12
6213,80,23.96
6214,80,22.12
6215,80,23.96
6216,80,22.12
6217,80,23.96
6218,80,22.12
6219,80,23.04
6220,80,23.04
6221,80,22.12
6222,80,23.96
6223,80,22.12
6224,80,23.96
6225,80,22.12
6226,80,23.04
6227,80,23.04
6228,80,22.12
6229,80,23.96
6230,80,22.12
6231,80,23.96
6232,80,22.12
6233,80,23.96
6234,80,22.12
6235,80,23.04
6236,80,23.04
6237,80,23.04
6238,80,23.04
6239,80,22.12
6240,80,23.96
6241,80,22.12
6242,80,23.96
6243,80,22.12
6244,80,23.04
6245,80,23.04
6246,80,22.12
6247,80,23.96
6248,80,22.12
6249,80,23.96
6250,80,22.12
6251,80,23.96
6252,80,22.12
6253,80,23.04
6254,80,23.04
6255,80,22.12
6256,80,23.96
6257,80,22.12
6258,80,23.96
6259,80,22.12
6260,80,23.96
6261,80,22.12
6262,80,23.04
6263,80,23.04
6264,80,22.12
6265,80,23.96
6266,80,22.12
6267,80,23.96
6268,80,22.12
6269,80,23.04
6270,80,23.04
6271,80,22.12
6272,80,23.96
6273,80,22.12
6274,80,23.96
6275,80,22.12
6276,80,23.04
6277,80,23.04
6278,80,22.12
6279,80,23.96
6280,80,22.12
6281,80,23.96
6282,80,22.12
6283,80,23.96
6284,80,22.12
6285,80,23.04
6286,80,23.04
6287,80,23.04
6288,80,23.04
6289,80,23.04
6290,80,23.04
6291,80,22.12
6292,80,23.96
6293,80,22.12
6294,80,23.96
6295,80,22.12
6296,80,23.04
6297,80,23.04
6298,80,23.04
6299,80,23.04
6300,80,22.12
6301,80,23.96
6302,80,22.12
6303,80,23.96
6304,80,22.12
6305,80,23.96
6306,80,22.12
6307,80,23.04
6308,80,23.04
6309,80,23.04
6310,80,23.04
6311,80,22.12
6312,80,23.96
6313,80,22.12
6314,80,23.96
6315,80,22.12
6316,80,23.96
6317,80,22.12
6318,80,23.04
6319,80,23.04
6320,80,23.04
6321,80,23.04
6322,80,22.12
6323,80,23.96
6324,80,22.12
6325,80,23.96
6326,80,22.12
6327,80,23.96
6328,80,22.12
6329,80,23.96
6330,80,22.12
6331,80,23.04
6332,80,23.04
6333,80,23.04
6334,80,23.04
6335,80,23.04
6336,80,23.04
6337,80,23.04
6338,80,23.04
6339,80,23.04
6340,80,23.04
6341,80,23.04
6342,80,23.04
6343,80,23.04
6344,80,23.04
6345,80,23.04
6346,80,23.04
6347,80,23.04
6348,80,23.04
6349,80,23.04
6350,80,23.04
6351,80,23.04
6352,80,23.04
6353,80,23.04
6354,80,23.04
6355,80,23.96
6356,80,22.12
6357,80,23.96
6358,80,22.12
6359,80,23.96
6360,80,22.12
6361,80,23.04
6362,80,23.04
6363,80,23.04
6364,80,23.04
6365,80,23.04
6366,80,23.04
6367,80,22.12
6368,80,23.96
6369,80,22.12
6370,80,23.96
6371,80,22.12
6372,80,23.96
6373,80,22.12
6374,80,23.96
6375,80,22.12
6376,80,23.04
6377,80,23.04
6378,80,23.04
6379,80,23.04
6380,80,22.12
6381,80,23.96
6382,80,22.12
6383,80,23.96
6384,80,22.12
6385,80,23.96
6386,80,22.12
6387,80,23.04
6388,80,23.04
6389,80,23.04
6390,80,23.04
6391,80,23.04
6392,80,23.04
6393,80,23.04
6394,80,23.04
6395,80,23.04
6396,80,23.04
6397,80,22.12
6398,80,23.96
6399,80,22.12
6400,80,23.96
6401,80,23.04
6402,80,23.04
6403,80,22.12
6404,80,23.96
6405,80,22.12
6406,80,23.96
6407,80,22.12
6408,80,23.96
6409,80,22.12
6410,80,23.96
6411,80,22.12
6412,80,23.96
6413,80,22.12
6414,80,23.96
6415,80,22.12
6416,80,23.96
6417,80,22.12
6418,80,23.96
6419,80,22.12
6420,80,23.96
6421,80,22.12
6422,80,23.04
6423,80,23.04
6424,80,23.04
6425,80,23.04
6426,80,22.12
6427,80,23.96
6428,80,22.12
6429,80,23.04
6430,80,23.04
6431,80,23.04
6432,80,23.04
6433,80,22.12
6434,80,23.96
6435,80,22.12
6436,80,23.96
6437,80,22.12
6438,80,23.04
6439,80,23.04
6440,80,23.04
6441,80,23.04
6442,80,22.12
6443,80,23.96
6444,80,22.12
6445,80,23.04
6446,80,23.04
6447,80,23.04
6448,80,23.04
6449,80,22.12
6450,80,23.96
6451,80,22.12
6452,80,23.96
6453,80,22.12
6454,80,23.96
6455,80,22.12
6456,80,23.04
6457,80,23.04
6458,80,23.04
6459,80,23.04
6460,80,23.04
6461,80,23.04
6462,80,23.04
6463,80,23.04
6464,80,23.04
6465,80,23.04
6466,80,23.04
6467,80,23.04
6468,80,23.04
6469,80,23.04
6470,80,23.04
6471,80,23.04
6472,80,23.04
6473,80,23.04
6474,80,23.04
6475,80,23.04
6476,80,23.04
6477,80,23.04
6478,80,22.12
6479,80,23.96
6480,80,22.12
6481,80,23.96
6482,80,22.12
6483,80,23.96
6484,80,22.12
6485,80,23.96
6486,80,22.12
6487,80,23.96
6488,80,22.12
6489,80,23.96
6490,80,22.12
6491,80,23.96
6492,80,22.12
6493,80,23.96
6494,80,22.12
6495,80,23.96
6496,80,22.12
6497,80,23.96
6498,80,22.12
6499,80,23.96
6500,80,22.12
6501,80,23.96
6502,80,22.12
6503,80,23.96
6504,80,22.12
6505,80,23.96
6506,80,22.12
6507,80,23.96
6508,80,22.12
6509,80,23.96
6510,80,22.12
6511,80,23.96
6512,80,22.12
6513,80,23.04
6514,80,23.04
6515,80,23.04
6516,80,23.04
6517,80,23.04
6518,80,23.04
6519,80,23.04
6520,80,23.04
6521,80,23.04
6522,80,23.04
6523,80,23.96
6524,80,22.12
6525,80,23.96
6526,80,22.12
6527,80,23.96
6528,80,22.12
6529,80,23.96
6530,80,22.12
6531,80,23.96
6532,80,22.12
6533,80,23.96
6534,80,22.12
6535,80,23.96
6536,80,22.12
6537,80,23.96
6538,80,22.12
6539,80,23.96
6540,80,22.12
6541,80,23.96
6542,80,22.12
6543,80,23.96
6544,80,22.12
6545,80,23.96
6546,80,22.12
6547,80,23.96
6548,80,23.04
6549,80,23.04
6550,80,23.04
6551,80,23.04
6552,80,23.04
6553,80,23.04
6554,80,23.96
6555,80,22.12
6556,80,23.96
6557,80,22.12
6558,80,23.96
6559,80,22.12
6560,80,23.96
6561,80,22.12
6562,80,23.96
6563,80,22.12
6564,80,23.96
6565,80,22.12
6566,80,23.96
6567,80,22.12
6568,80,23.96
6569,80,22.12
6570,80,23.96
6571,80,22.12
6572,80,23.96
6573,80,22.12
6574,80,23.96
6575,80,22.12
6576,80,23.96
6577,80,22.12
6578,80,23.96
6579,80,22.12
6580,80,23.96
6581,80,22.12
6582,80,23.96
6583,80,22.12
6584,80,23.96
6585,80,22.12
6586,80,23.96
6587,80,22.12
6588,80,23.96
6589,80,22.12
6590,80,23.96
6591,80,22.12
6592,80,23.96
1,80,3.84
2,80,6.58
3,80,10.14
4,80,12.9
5,80,15.67
6,80,16.59
7,80,17.51
8,80,18.43
9,80,20.28
